Framework,Lot,Supplier,Customer,For_Month,Product_Service_Description,Total_Charge
G-Cloud Services II,3,QINETIQ LTD,Environment Agency,2013-05-01l,Environment Agency RACE Initial Requirements Validation,1088.94
G-Cloud Services II,3,QINETIQ LTD,Environment Agency,2013-05-01l,Case Management in the Cloud,28704.1
G-Cloud Services II,3,QINETIQ LTD,Environment Agency,2013-07-01l,Completion of Sprint 3,28704.1
G-Cloud Services II,3,QINETIQ LTD,Environment Agency,2013-07-01l,Compute as a Service Dev & Test - June 2013,1814.4
G-Cloud Services II,3,QINETIQ LTD,Environment Agency,2013-07-01l,T&S,725.72
G-Cloud Services II,3,QINETIQ LTD,Environment Agency,2013-06-01l,Compute as a Service Dev & Test - May 2013,1935.36
G-Cloud Services II,3,QINETIQ LTD,Environment Agency,2013-06-01l,Case Management in the cloud,28704.1
G-Cloud Services II,3,QINETIQ LTD,Environment Agency,2013-08-01l,Expenses,1334.78
G-Cloud Services II,3,QINETIQ LTD,Environment Agency,2013-08-01l,Compute as a Service Dev,1874.88
G-Cloud Services II,3,OD Consultancy Ltd,Home Office,2013-09-01l,Setup of Projectfusion data room for iQuanta.,7475
G-Cloud Services II,1,ONYX GROUP,Parliamentary Information Communication Technologies,2013-09-01l,Virtual server support,540
G-Cloud Services II,4,PA Consulting Group Ltd,Defence Equipment and Support,2013-09-01l,DIST Commercial Support,59673.33
G-Cloud III,4,Quo Imus Ltd,Home Office,2013-08-01l,OSC Website Healthcheck,2385
G-Cloud III,4,Quo Imus Ltd,Home Office,2013-08-01l,eforms Retest,1590
G-Cloud Services II,4,Quo Imus Ltd,Cabinet Office,2013-04-01l,Penetration Testing for Bearer Token Management,3975
G-Cloud Services II,4,Quo Imus Ltd,Home Office,2013-04-01l,DBS Umbrella Body Directory Health Check,3180
G-Cloud Services II,4,Quo Imus Ltd,Ministry of Justice,2013-04-01l,Activity Information Management Security Penetration Testing,6360
G-Cloud Services II,4,Quo Imus Ltd,Government Digital Service,2013-05-01l,HMRC Heritage Service Finder ITHC,3180
G-Cloud Services II,4,Quo Imus Ltd,Government Digital Service,2013-06-01l,Penetration Testing Service for Non-GCSX,6360
G-Cloud Services II,4,Quo Imus Ltd,Home Office,2013-06-01l,DCT Police Pensions Forum Healthcheck,3180
G-Cloud Services II,4,Quo Imus Ltd,Home Office,2013-06-01l,DCT eForms Healthcheck,3975
G-Cloud Services II,4,Quo Imus Ltd,Ministry of Justice,2013-06-01l,OPA LPA Beta Health Check,9540
G-Cloudi,4,Quo Imus Ltd,Student Loans Company Limited,2012-06-01l,Testing,11072
G-Cloudi,4,Quo Imus Ltd,Student Loans Company Limited,2012-07-01l,Testing,31832
G-Cloudi,4,Quo Imus Ltd,Student Loans Company Limited,2012-08-01l,Testing,44288
G-Cloudi,4,Quo Imus Ltd,Student Loans Company Limited,2012-09-01l,Multiple Attendance ReG-Cloud strationLA Portal,31140
G-Cloudi,4,Quo Imus Ltd,Student Loans Company Limited,2012-10-01l,LA Portal,11072
G-Cloudi,4,Quo Imus Ltd,Office of the Public Guardian,2012-11-01l,OPG LPA Pilot CHECK retest,1590
G-Cloudi,4,Quo Imus Ltd,Office of the Public Guardian,2013-01-01l,OPG LPA Pilot CHECK pen test + report,7155
G-Cloud III,4,ONI PLC,University of Plymouth,2013-09-01l,Managed Wireless,435000
G-Cloud III,4,Optevia,HS2 Ltd,2013-09-01l,Support for Microsoft CRM Solution,1650
G-Cloud III,4,Parity Group PLC,Office for National Statistics,2013-09-01l,Design and Development,4453.02
G-Cloud III,4,Parity Group PLC,Animal Health,2013-09-01l,E-commerce Project Manager,14731.92
G-Cloud Services II,4,RAINMAKER SOLUTIONS LTD,Highways Agency,2013-03-01l,Cloud Viability Assessment,20357.6
G-Cloud Services II,4,RAINMAKER SOLUTIONS LTD,Highways Agency,2013-04-01l,Cloud Viability Assessment,20360.97
G-Cloud Services II,4,RAINMAKER SOLUTIONS LTD,Highways Agency,2013-07-01l,Cloud Consultancy,20086.61
G-Cloud Services II,4,RAINMAKER SOLUTIONS LTD,Highways Agency,2013-07-01l,Cloud Consultancy,19750
G-Cloud III,3,Rapide Communications Ltd,Foreign And Commonwealth Office,2013-08-01l,Campaign + 2 x integration SMS,1590
G-Cloud III,3,Rapide Communications Ltd,Foreign And Commonwealth Office,2013-08-01l,Campaign + 2 x integration Set Up,1590
G-Cloud III,3,Rapide Communications Ltd,Foreign And Commonwealth Office,2013-08-01l,Campaign + 2 x integration,1590
G-Cloud III,4,Parity Group PLC,Office for National Statistics,2013-09-01l,Project / Programme Management,7616.96
G-Cloud III,4,Parity Group PLC,Office for National Statistics,2013-09-01l,Design and Development,5273.28
G-Cloud III,4,Redbox Digital Limited,Government Digital Service,2013-07-01l,Gcloud Support Services,15820
G-Cloud Services II,3,Redweb Ltd,Serious Organised Crime Agency,2013-07-01l,NCA intranet phase one,26060
G-Cloud Services II,3,Redweb Ltd,Serious Organised Crime Agency,2013-07-01l,NCA intranet phase one,8670
G-Cloudi,3,RISKEX LTD.,Luton Borough Council,2012-06-01l,AssessNET Accident/Incident Reporting Module,9995
G-Cloudi,3,RISKEX LTD.,Homes and Communities Agency,2012-11-01l,AssessNET Risk Assessment Module,9995
G-Cloudi,3,RISKEX LTD.,Met Office,2012-11-01l,AssessNET Safety Audit Module + support services,12250
G-Cloudi,3,RISKEX LTD.,Homes and Communities Agency,2013-01-01l,AssessNET Risk Assessment Module,9995
G-Cloudi,3,RISKEX LTD.,London Borough of Newham Council,2013-01-01l,AssessNET Safety Audit Module,12250
G-Cloudi,3,RISKEX LTD.,Merthyr Tydfil County Borough Council,2013-01-01l,AssessNET Risk Assessment Module,9995
G-Cloud III,3,Salesforce.com,London Borough of Hounslow Council,2013-06-01l,Service Cloud,501039.32
G-Cloud III,3,Salesforce.com,NHS England,2013-07-01l,SAAS,496464
G-Cloud III,3,Salesforce.com,British Council,2013-07-01l,SAAS,25619.33
G-Cloud III,3,Salesforce.com,NHS Direct,2013-07-01l,SAAS,62808.89
G-Cloud Services II,4,SCISYS UK LTD,Department for Environment Food And Rural Affairs,2013-05-01l,BI CONSULTANCY,3642.08
G-Cloud Services II,4,SCISYS UK LTD,Department for Environment Food And Rural Affairs,2013-06-01l,BI CONSULTANCY,9002.35
G-Cloud Services II,4,SCISYS UK LTD,Department for Environment Food And Rural Affairs,2013-07-01l,BI CONSULTANCY,2244.86
G-Cloud Services II,4,SEQUENCE COLLECTIVE LTD,Cabinet Office,2012-11-01l,Provision of .NET and Sitcore development and migration consultancy,1800
G-Cloud Services II,1,SEQUENCE COLLECTIVE LTD,Cabinet Office,2012-11-01l,Cloud based hosting services,3237
G-Cloud Services II,3,SEQUENCE COLLECTIVE LTD,Cabinet Office,2012-11-01l,VEND application support services,9412
G-Cloud Services II,4,SEQUENCE COLLECTIVE LTD,Cabinet Office,2012-11-01l,Provision of .NET and Sitcore development and migration consultancy,10000
G-Cloud Services II,3,Sequence Collective Ltd,Cabinet Office,2012-12-01l,Cloud based hosting services,3237
G-Cloud Services II,1,Sequence Collective Ltd,Cabinet Office,2012-12-01l,VEND application support services,9412
G-Cloud Services II,4,Sequence Collective Ltd,Cabinet Office,2013-02-01l,Provision of .NET and Sitcore development and migration consultancy,780
G-Cloud Services II,1,Sequence Collective Ltd,Cabinet Office,2013-02-01l,Cloud based hosting services,3237
G-Cloud Services II,3,Sequence Collective Ltd,Cabinet Office,2013-02-01l,VEND application support services,9412
G-Cloud Services II,4,Sequence Collective Ltd,Cabinet Office,2013-03-01l,Provision of .NET and Sitcore development and migration consultancy,900
G-Cloud Services II,1,Sequence Collective Ltd,Cabinet Office,2013-03-01l,Cloud based hosting services,3237
G-Cloud Services II,4,Sequence Collective Ltd,Cabinet Office,2013-03-01l,Provision of .NET and Sitcore development and migration consultancy,7910
G-Cloud Services II,3,Sequence Collective Ltd,Cabinet Office,2013-03-01l,VEND application support services,9412
G-Cloud Services II,3,SEQUENCE COLLECTIVE LTD,Cabinet Office,2013-05-01l,VEND application support services,9412
G-Cloud Services II,1,SEQUENCE COLLECTIVE LTD,Cabinet Office,2013-05-01l,Cloud based hosting services,3237
G-Cloud Services II,3,SEQUENCE COLLECTIVE LTD,Cabinet Office,2013-08-01l,VEND application support services,9412
G-Cloud Services II,1,SEQUENCE COLLECTIVE LTD,Cabinet Office,2013-08-01l,Cloud based hosting services,3237
G-Cloudi,4,Sequence Collective Ltd,Cabinet Office,2012-09-01l,Provision of .NET and Sitcore development and migration consultancy,48125.24
G-Cloudi,4,Sequence Collective Ltd,Cabinet Office,2012-10-01l,Managed ComponentCompute,12649
G-Cloudi,4,Sequence Collective Ltd,Cabinet Office,2012-12-01l,Cloud based hosting services,12649
G-Cloud III,4,SFW Ltd,Animal Health and Veterinary Laboratories Agency,2013-06-01l,SFW Agile Development Services,10875
G-Cloud III,4,SFW Ltd,Animal Health and Veterinary Laboratories Agency,2013-06-01l,SFW Agile Development Services,8595
G-Cloud III,4,SFW Ltd,Animal Health and Veterinary Laboratories Agency,2013-06-01l,SFW Agile Development Services,8595
G-Cloud III,4,SFW Ltd,Animal Health and Veterinary Laboratories Agency,2013-06-01l,SFW Agile Development Services,8595
G-Cloud III,4,SFW Ltd,Heritage Lottery Fund,2013-06-01l,SFW Agile Development Services,2986
G-Cloud III,4,SFW Ltd,Heritage Lottery Fund,2013-06-01l,SFW Agile Development Services,17718.11
G-Cloud III,4,SFW Ltd,Heritage Lottery Fund,2013-06-01l,SFW Agile Development Services,2380
G-Cloud III,4,SFW Ltd,Heritage Lottery Fund,2013-06-01l,SFW Agile Development Services,8667.1
G-Cloud III,4,SFW Ltd,Heritage Lottery Fund,2013-06-01l,SFW Agile Development Services,3756.85
G-Cloud III,4,SFW Ltd,Homes and Communities Agency,2013-06-01l,SFW Agile Development Services,7328.05
G-Cloud III,4,SFW Ltd,Homes and Communities Agency,2013-06-01l,SFW Agile Development Services,779.7
G-Cloud III,4,SFW Ltd,Houses of Parliament,2013-06-01l,SFW Agile Development Services,1480
G-Cloud III,4,SFW Ltd,Houses of Parliament,2013-06-01l,SFW Agile Development Services,3450
G-Cloud III,4,SFW Ltd,Animal Health and Veterinary Laboratories Agency,2013-05-01l,SFW Agile Development Services,6426
G-Cloud III,4,SFW Ltd,Animal Health and Veterinary Laboratories Agency,2013-05-01l,SFW Agile Development Services,5157
G-Cloud III,4,SFW Ltd,Animal Health and Veterinary Laboratories Agency,2013-05-01l,SFW Agile Development Services,2292
G-Cloud III,4,SFW Ltd,Animal Health and Veterinary Laboratories Agency,2013-05-01l,SFW Agile Development Services,9996
G-Cloud III,4,SFW Ltd,Animal Health and Veterinary Laboratories Agency,2013-05-01l,SFW Agile Development Services,8022
G-Cloud III,4,SFW Ltd,Animal Health and Veterinary Laboratories Agency,2013-05-01l,SFW Agile Development Services,8022
G-Cloud III,4,SFW Ltd,Houses of Parliament,2013-06-01l,SFW Agile Development Services,14400
G-Cloud III,4,SFW Ltd,Homes and Communities Agency,2013-05-01l,SFW Agile Development Services,9955.3
G-Cloud III,4,SFW Ltd,Homes and Communities Agency,2013-05-01l,SFW Agile Development Services,876.3
G-Cloud III,4,SFW Ltd,Homes and Communities Agency,2013-05-01l,SFW Agile Development Services,81.25
G-Cloud III,4,SFW Ltd,Passenger Focus,2013-05-01l,SFW Agile Development Services,2750
G-Cloud III,4,SFW Ltd,Passenger Focus,2013-06-01l,SFW Agile Development Services,12925
G-Cloud III,4,SFW Ltd,Passenger Focus,2013-06-01l,SFW Agile Development Services,2975
G-Cloud III,4,SFW Ltd,Animal Health and Veterinary Laboratories Agency,2013-07-01l,SFW Applications Support,28698.63
G-Cloud III,4,SFW Ltd,Animal Health and Veterinary Laboratories Agency,2013-07-01l,SFW Applications Support,28698.63
G-Cloud III,4,SFW Ltd,Animal Health and Veterinary Laboratories Agency,2013-07-01l,SFW Agile Development Services,8595
G-Cloud III,4,SFW Ltd,Animal Health and Veterinary Laboratories Agency,2013-07-01l,SFW Agile Development Services,8595
G-Cloud III,4,SFW Ltd,Animal Health and Veterinary Laboratories Agency,2013-07-01l,SFW Agile Development Services,8595
G-Cloud III,4,SFW Ltd,Animal Health and Veterinary Laboratories Agency,2013-07-01l,SFW Agile Development Services,10710
G-Cloud III,4,SFW Ltd,Animal Health and Veterinary Laboratories Agency,2013-07-01l,SFW Agile Development Services,2865
G-Cloud III,4,SFW Ltd,Homes and Communities Agency,2013-07-01l,SFW Agile Development Services,9040
G-Cloud III,4,SFW Ltd,Homes and Communities Agency,2013-07-01l,SFW Agile Development Services,462.3
G-Cloud III,4,SFW Ltd,Passenger Focus,2013-07-01l,SFW Applications Support,4125
G-Cloud III,4,SFW Ltd,Homes and Communities Agency,2013-08-01l,SFW Agile Development Services,6989.05
G-Cloud III,4,SFW Ltd,Homes and Communities Agency,2013-08-01l,SFW Agile Development Services,807.3
G-Cloud III,4,SFW Ltd,Homes and Communities Agency,2013-08-01l,SFW Agile Development Services,6441
G-Cloud III,4,SFW Ltd,Homes and Communities Agency,2013-08-01l,SFW Agile Development Services,186.3
G-Cloud III,4,SFW Ltd,Animal Health and Veterinary Laboratories Agency,2013-08-01l,SFW Agile Development Services,800.99
G-Cloud III,4,SFW Ltd,Animal Health and Veterinary Laboratories Agency,2013-08-01l,SFW Agile Development Services,402.28
G-Cloud III,4,SFW Ltd,Animal Health and Veterinary Laboratories Agency,2013-08-01l,SFW Agile Development Services,2892
G-Cloud III,4,SFW Ltd,Animal Health and Veterinary Laboratories Agency,2013-08-01l,SFW Agile Development Services,2807.7
G-Cloud III,4,SFW Ltd,Animal Health and Veterinary Laboratories Agency,2013-08-01l,SFW Agile Development Services,402.28
G-Cloud III,4,SFW Ltd,Animal Health and Veterinary Laboratories Agency,2013-08-01l,SFW Agile Development Services,831.6
G-Cloud Services II,4,SFW Ltd,Homes and Communities Agency,2013-04-01l,SFW Agile Development Services,5000
G-Cloud Services II,4,SFW Ltd,Homes and Communities Agency,2013-04-01l,SFW Agile Development Services,9040
G-Cloud Services II,4,SFW Ltd,Homes and Communities Agency,2013-04-01l,SFW Agile Development Services,16875
G-Cloud Services II,4,SFW Ltd,National Employment Savings Trust,2013-04-01l,SFW Agile Development Services,1380
G-Cloud III,4,Parity Group PLC,Office for National Statistics,2013-09-01l,Design and Development,5220.04
G-Cloud III,4,Parity Group PLC,Office for National Statistics,2013-09-01l,Design and Development,5667.48
G-Cloud III,4,Parity Group PLC,Office for National Statistics,2013-09-01l,Design and Development,6072.3
G-Cloud III,4,Parity Group PLC,Office for National Statistics,2013-09-01l,Design and Development,5220.04
G-Cloud III,4,Parity Group PLC,Office for National Statistics,2013-09-01l,Design and Development,5220.04
G-Cloud III,4,Parity Group PLC,Office for National Statistics,2013-09-01l,Design and Development,8437.2
G-Cloud III,4,Parity Group PLC,Office for National Statistics,2013-09-01l,Design and Development,3883.05
G-Cloud III,4,Parity Group PLC,Office for National Statistics,2013-09-01l,Design and Development,4966.5
G-Cloud Services II,4,SFW Ltd,Homes and Communities Agency,2012-12-01l,SFW AG-Cloud le Development Services,13192.93
G-Cloud Services II,4,SFW Ltd,Homes and Communities Agency,2013-01-01l,SFW Agile Development Services,11198.53
G-Cloud Services II,4,SFW Ltd,Homes and Communities Agency,2013-02-01l,SFW Agile Development Services,565.35
G-Cloud Services II,4,SFW Ltd,Homes and Communities Agency,2013-02-01l,SFW Agile Development Services,598
G-Cloud Services II,4,SFW Ltd,Homes and Communities Agency,2013-02-01l,SFW Agile Development Services,960.45
G-Cloud Services II,4,SFW Ltd,Homes and Communities Agency,2013-02-01l,SFW Agile Development Services,5517.92
G-Cloud Services II,4,SFW Ltd,Homes and Communities Agency,2013-03-01l,SFW Agile Development Services,338.99
G-Cloud Services II,4,SFW Ltd,Homes and Communities Agency,2013-03-01l,SFW Agile Development Services,3237.45
G-Cloud Services II,4,SFW Ltd,National Employment Savings Trust,2013-03-01l,SFW Agile Development Services,1390
G-Cloud Services II,4,SFW Ltd,National Employment Savings Trust,2013-03-01l,SFW Agile Development Services,11000
G-Cloud Services II,4,SFW Ltd,National Employment Savings Trust,2013-03-01l,SFW Agile Development Services,13750
G-Cloud Services II,4,SFW Ltd,National Heritage Memorial Fund,2013-03-01l,SFW Agile Development Services,350
G-Cloud Services II,4,SFW Ltd,National Heritage Memorial Fund,2013-03-01l,SFW Agile Development Services,525
G-Cloud Services II,4,SFW Ltd,National Heritage Memorial Fund,2013-03-01l,SFW Agile Development Services,1787.5
G-Cloudi,3,SkyDox,Information CommissionerÕs Office,2012-08-01l,SkyDox Business Edition,300
G-Cloud III,1,SKYSCAPE CLOUD SERVICES LTD,Department for Work And Pensions,2013-07-01l,Compute,198.26
G-Cloud III,1,SKYSCAPE CLOUD SERVICES LTD,Department for Work And Pensions,2013-08-01l,Compute,534.13
G-Cloud Services II,1,SKYSCAPE CLOUD SERVICES LTD,Centre for Applied Science and Technology,2013-06-01l,Compute,1109.75
G-Cloud Services II,1,SKYSCAPE CLOUD SERVICES LTD,Home Office,2013-07-01l,Compute,565.5
G-Cloud Services II,1,SKYSCAPE CLOUD SERVICES LTD,House of Commons,2013-07-01l,Compute,21.45
G-Cloud Services II,1,SKYSCAPE CLOUD SERVICES LTD,House of Commons,2013-08-01l,Compute,26.17
G-Cloud Services II,1,SKYSCAPE CLOUD SERVICES LTD,Home Office,2013-08-01l,Compute,3759.41
G-Cloudi,1,SKYSCAPE CLOUD SERVICES LTD,Ministry of Defence,2012-08-01l,Hosting,430.7
G-Cloudi,1,SKYSCAPE CLOUD SERVICES LTD,Cabinet Office,2012-09-01l,Web Hosting Services,7571.03
G-Cloudi,1,SKYSCAPE CLOUD SERVICES LTD,Ministry of Defence,2012-09-01l,GEMS PoC Hosting,368.45
G-Cloudi,1,SKYSCAPE CLOUD SERVICES LTD,Cabinet Office,2012-10-01l,Hosting,32003.45
G-Cloudi,1,SKYSCAPE CLOUD SERVICES LTD,Ministry of Defence,2012-10-01l,Hosting,438.97
G-Cloudi,1,SKYSCAPE CLOUD SERVICES LTD,Cabinet Office,2012-11-01l,Hosting,47019.94
G-Cloudi,1,SKYSCAPE CLOUD SERVICES LTD,Ministry of Defence,2012-11-01l,Hosting,510.49
G-Cloudi,1,SKYSCAPE CLOUD SERVICES LTD,Cabinet Office,2012-12-01l,Hosting,54324.08
G-Cloudi,1,SKYSCAPE CLOUD SERVICES LTD,Ministry of Defence,2012-12-01l,Hosting,565.45
G-Cloudi,1,SKYSCAPE CLOUD SERVICES LTD,Cabinet Office,2013-01-01l,Hosting,57484.26
G-Cloudi,1,SKYSCAPE CLOUD SERVICES LTD,Defence Training Rationalisation IPT,2013-01-01l,Hosting,565.56
G-Cloudi,1,SKYSCAPE CLOUD SERVICES LTD,Busill Jones Primary School,2013-02-01l,Hosting,51838.87
G-Cloudi,1,SKYSCAPE CLOUD SERVICES LTD,Defence Training Rationalisation IPT,2013-02-01l,Hosting,356.28
G-Cloudi,1,SKYSCAPE CLOUD SERVICES LTD,HM Revenue and Customs,2013-02-01l,Storage,3600
G-Cloudi,1,SKYSCAPE CLOUD SERVICES LTD,HM Revenue and Customs,2013-02-01l,Storage,13613.39
G-Cloudi,1,SKYSCAPE CLOUD SERVICES LTD,Cabinet Office,2013-03-01l,Hosting,61011.45
G-Cloudi,1,SKYSCAPE CLOUD SERVICES LTD,HM Revenue and Customs,2013-03-01l,Storage,5400
G-Cloudi,1,SKYSCAPE CLOUD SERVICES LTD,Ministry of Defence,2013-03-01l,Hosting,394.44
G-Cloudi,1,SKYSCAPE CLOUD SERVICES LTD,Cabinet Office,2013-04-01l,Hosting,68447.78
G-Cloudi,1,SKYSCAPE CLOUD SERVICES LTD,HM Revenue and Customs,2013-04-01l,Storage,26070.32
G-Cloudi,1,SKYSCAPE CLOUD SERVICES LTD,Ministry of Defence,2013-04-01l,Hosting,381.72
G-Cloudi,1,SKYSCAPE CLOUD SERVICES LTD,Cabinet Office,2013-05-01l,Hosting,71583.88
G-Cloudi,1,SKYSCAPE CLOUD SERVICES LTD,HM Revenue and Customs,2013-05-01l,Storage,18688.76
G-Cloudi,1,SKYSCAPE CLOUD SERVICES LTD,Ministry of Defence,2013-05-01l,Hosting,394.44
G-Cloudi,1,SKYSCAPE CLOUD SERVICES LTD,Cabinet Office,2013-06-01l,Hosting,74837.66
G-Cloudi,1,SKYSCAPE CLOUD SERVICES LTD,HM Revenue and Customs,2013-06-01l,Storage,20477.94
G-Cloudi,1,SKYSCAPE CLOUD SERVICES LTD,Ministry of Defence,2013-06-01l,Hosting,354.68
G-Cloudi,1,SKYSCAPE CLOUD SERVICES LTD,Government Procurement Service,2013-07-01l,Hosting,82634.59
G-Cloudi,1,SKYSCAPE CLOUD SERVICES LTD,HM Revenue and Customs,2013-07-01l,Storage,22290.79
G-Cloudi,1,SKYSCAPE CLOUD SERVICES LTD,Ministry of Defence,2013-07-01l,Hosting,394.44
G-Cloudi,1,SKYSCAPE CLOUD SERVICES LTD,HM Revenue and Customs,2013-08-01l,Storage,26943.77
G-Cloudi,1,SKYSCAPE CLOUD SERVICES LTD,Ministry of Defence,2013-08-01l,Hosting,394.44
G-Cloudi,1,SKYSCAPE CLOUD SERVICES LTD,Government Procurement Service,2013-08-01l,Hosting,80035.37
G-Cloud Services II,4,PA Consulting Group Ltd,Department of Health,2013-09-01l,NIHR Cloud Migration: Phase 1,138277.5
G-Cloud Services II,4,PA Consulting Group Ltd,NHS England,2013-09-01l,IIT Support - June 13 to March 14,29600
G-Cloud III,4,Parity Group PLC,Office for National Statistics,2013-09-01l,Project / Programme Management,7478.4
G-Cloud III,4,Parity Group PLC,Office for National Statistics,2013-09-01l,Design and Development,5965.68
G-Cloud III,4,Parity Group PLC,Office for National Statistics,2013-09-01l,Project / Programme Management,5592.86
G-Cloud III,4,Parity Group PLC,Office for National Statistics,2013-09-01l,Project / Programme Management,6647.55
G-Cloud III,4,Parity Group PLC,Office for National Statistics,2013-09-01l,Design and Development,7390.61
G-Cloud III,4,Parity Group PLC,Office for National Statistics,2013-09-01l,Design and Development,5220.04
G-Cloud III,4,SMARTSOURCING P L C,Cabinet Office,2013-07-01l,Scala Developer,9825
G-Cloud III,4,SMARTSOURCING P L C,Civil Aviation Authority,2013-07-01l,Programme Planning Business Change Consultant,2679.99
G-Cloud III,4,SMARTSOURCING P L C,Civil Aviation Authority,2013-07-01l,Programme IT Planning Consultant,2512.5
G-Cloud III,4,SMARTSOURCING P L C,Civil Aviation Authority,2013-08-01l,Programme IT Planning Consultant,19262.5
G-Cloud III,4,SMARTSOURCING P L C,Civil Aviation Authority,2013-08-01l,Programme Planning Consultant -DBCIP,6700
G-Cloud III,4,SMARTSOURCING P L C,Civil Aviation Authority,2013-08-01l,Programme Planning Business Change Consultant,20546.59
G-Cloud III,4,SMARTSOURCING P L C,Civil Aviation Authority,2013-08-01l,Audit,3126.64
G-Cloud III,4,SMARTSOURCING P L C,Civil Aviation Authority,2013-08-01l,Programme IT Planning Consultant,8375
G-Cloud III,4,SMARTSOURCING P L C,Civil Aviation Authority,2013-08-01l,Programme Planning Consultant -DBCIP,8375
G-Cloud III,4,SMARTSOURCING P L C,Civil Aviation Authority,2013-08-01l,Programme Planning Business Change Consultant,8933.3
G-Cloud III,4,Parity Group PLC,Office for National Statistics,2013-09-01l,Design and Development,9001.85
G-Cloud III,4,Parity Group PLC,Office for National Statistics,2013-09-01l,Project / Programme Management,7084.28
G-Cloud III,4,Parity Group PLC,Office for National Statistics,2013-09-01l,Design and Development,5592.9
G-Cloud III,4,Parity Group PLC,Office for National Statistics,2013-09-01l,Design and Development,4602.12
G-Cloud III,4,Parity Group PLC,Office for National Statistics,2013-09-01l,Project / Programme Management,3749.92
G-Cloud Services II,3,SOFTCAT LTD,East Midlands Ambulance Service NHS Trust,2013-03-01l,Service Now Enterprise Edition,29088.36
G-Cloud Services II,3,SOFTCAT LTD,East Midlands Ambulance Service NHS Trust,2013-05-01l,System Admin 3 DaysEPublic,2462
G-Cloud Services II,3,SOFTCAT LTD,East Midlands Ambulance Service NHS Trust,2013-08-01l,Partners in IT Consultancy,9500
G-Cloud Services II,4,PFI Knowledge Solutions,Metropolitan Police Service,2013-09-01l,Intelligus SBF,13000
G-Cloud Services II,4,Sogeti UK Limited,Learning and Skills Improvement Service,2013-01-01l,Test Management Automation Services,16800
G-Cloud Services II,4,Sogeti UK Limited,Skills Funding Agency,2012-11-01l,Specialist Cloud Services,10500
G-Cloud Services II,4,Sogeti UK Limited,Skills Funding Agency,2012-12-01l,Automation Services Test Management,55500
G-Cloud Services II,4,Sogeti UK Limited,Skills Funding Agency,2013-02-01l,Automation Services,8550
G-Cloud Services II,4,Sogeti UK Limited,Skills Funding Agency,2013-02-01l,Test Management,9500
G-Cloud Services II,4,Sogeti UK Limited,Skills Funding Agency,2013-03-01l,Automation Services,450
G-Cloud Services II,4,Sogeti UK Limited,Skills Funding Agency,2013-03-01l,Automation Services,8550
G-Cloud Services II,4,Sogeti UK Limited,Skills Funding Agency,2013-03-01l,Test Management,10000
G-Cloud Services II,4,Sogeti UK Limited,Skills Funding Agency,2013-04-01l,Test Execution,600
G-Cloud Services II,4,Sogeti UK Limited,Skills Funding Agency,2013-04-01l,Test Execution,5100
G-Cloud Services II,4,Sogeti UK Limited,Skills Funding Agency,2013-04-01l,Test Management,8500
G-Cloud Services II,4,Sogeti UK Limited,Skills Funding Agency,2013-04-01l,Automation Services,9450
G-Cloud Services II,4,Sogeti UK Limited,Skills Funding Agency,2013-05-01l,Test Execution,4200
G-Cloud Services II,4,Sogeti UK Limited,Skills Funding Agency,2013-05-01l,Automation Services,2700
G-Cloud Services II,4,Sogeti UK Limited,Skills Funding Agency,2013-05-01l,Test Execution,6000
G-Cloud Services II,4,Sogeti UK Limited,Skills Funding Agency,2013-05-01l,Test Execution,6000
G-Cloud Services II,4,Sogeti UK Limited,Skills Funding Agency,2013-05-01l,Automation Services,8550
G-Cloud Services II,4,Sogeti UK Limited,Skills Funding Agency,2013-05-01l,Test Management,10500
G-Cloud Services II,4,Sogeti UK Limited,Skills Funding Agency,2013-06-01l,Managed Testing Services,6000
G-Cloud Services II,4,Sogeti UK Limited,Skills Funding Agency,2013-06-01l,Managed Testing Services,9000
G-Cloud Services II,4,Sogeti UK Limited,Skills Funding Agency,2013-06-01l,Managed Testing Services,6000
G-Cloud Services II,4,Sogeti UK Limited,Skills Funding Agency,2013-06-01l,Managed Testing Services,5700
G-Cloud Services II,4,Sogeti UK Limited,Skills Funding Agency,2013-06-01l,Managed Testing Services,4500
G-Cloud Services II,4,Sogeti UK Limited,Skills Funding Agency,2013-06-01l,Managed Testing Services,10000
G-Cloud Services II,4,Sogeti UK Limited,Skills Funding Agency,2013-07-01l,Managed Testing Services,6600
G-Cloud Services II,4,Sogeti UK Limited,Skills Funding Agency,2013-07-01l,Managed Testing Services,10350
G-Cloud Services II,4,Sogeti UK Limited,Skills Funding Agency,2013-07-01l,Managed Testing Services,6900
G-Cloud Services II,4,Sogeti UK Limited,Skills Funding Agency,2013-07-01l,Managed Testing Services,6000
G-Cloud Services II,4,Sogeti UK Limited,Skills Funding Agency,2013-07-01l,Managed Testing Services,5800
G-Cloud Services II,4,Sogeti UK Limited,Skills Funding Agency,2013-08-01l,Managed Testing Services,6000
G-Cloud Services II,4,Sogeti UK Limited,Skills Funding Agency,2013-08-01l,Managed Testing Services,4950
G-Cloud Services II,4,Sogeti UK Limited,Skills Funding Agency,2013-08-01l,Managed Testing Services,6300
G-Cloud Services II,4,Sogeti UK Limited,Skills Funding Agency,2013-08-01l,Managed Testing Services,5400
G-Cloud Services II,4,Sogeti UK Limited,Skills Funding Agency,2013-08-01l,Managed Testing Services,8400
